state,date,type,total,AtLarge,PLEO,District,super
Alabama,03/01/16,primary,60,11,7,35,7
American Samoa,03/01/16,caucus,10,6,0,0,4
Arkansas,03/01/16,primary,37,7,4,21,5
Colorado,03/01/16,caucus,79,14,9,43,13
Democrats Abroad,03/01/16,caucus,17,12,1,0,4
Georgia,03/01/16,primary,116,22,13,67,14
Massachusetts,03/01/16,primary,116,20,12,59,25
Minnesota,03/01/16,caucus,93,17,10,50,16
Oklahoma,03/01/16,primary,42,8,5,25,4
Tennessee,03/01/16,primary,76,14,9,44,9
Texas,03/01/16,primary,252,48,29,145,30
Vermont,03/01/16,primary,26,3,2,11,10
Virginia,03/01/16,primary,110,21,12,62,15
Kansas,03/05/16,caucus,37,7,4,22,4
Louisiana,03/05/16,primary,58,11,7,33,7
Nebraska,03/05/16,caucus,30,5,3,17,5
Maine,03/06/16,caucus,30,5,3,17,5
Michigan,03/08/16,primary,147,28,17,85,17
Mississippi,03/08/16,primary,41,8,5,23,5
Northern Marianas,03/12/16,caucus,11,6,0,0,5
Florida,03/15/16,primary,246,46,28,140,32
Illinois,03/15/16,primary,182,34,20,102,26
Missouri,03/15/16,primary,84,15,9,47,13
North Carolina,03/15/16,primary,121,23,14,70,14
Ohio,03/15/16,primary,159,31,19,93,16
Arizona,03/22/16,primary,85,16,9,50,10
Idaho,03/22/16,caucus,27,5,3,15,4
Utah,03/22/16,caucus,37,7,4,22,4
Alaska,03/26/16,caucus,20,4,2,10,4
Hawaii,03/26/16,caucus,34,6,3,16,9
Washington,03/26/16,caucus,118,22,12,67,17
Wisconsin,04/05/16,primary,96,19,10,57,10
Wyoming,04/09/16,caucus,18,4,2,8,4
New York,04/19/16,primary,291,54,30,163,44
Connecticut,04/26/16,primary,70,12,7,36,15
Delaware,04/26/16,primary,31,5,2,14,10
Maryland,04/26/16,primary,118,21,10,64,23
Pennsylvania,04/26/16,primary,210,42,20,127,21
Rhode Island,04/26/16,primary,33,6,3,15,9
Indiana,05/03/16,primary,92,18,9,56,9
Guam,05/07/16,caucus,12,7,0,0,5
West Virginia,05/10/16,primary,37,6,3,20,8
Kentucky,05/17/16,primary,61,12,6,37,6
Oregon,05/17/16,primary,74,13,7,41,13
Virgin Islands,06/04/16,caucus,12,7,0,0,5
Puerto Rico,06/05/16,caucus,67,13,7,40,7
California,06/07/16,primary,546,105,53,317,71
Montana,06/07/16,primary,27,4,2,15,6
New Jersey,06/07/16,primary,142,28,14,84,16
New Mexico,06/07/16,primary,43,7,4,23,9
North Dakota,06/07/16,caucus,23,4,2,12,5
South Dakota,06/07/16,primary,25,4,2,14,5
"Washington, DC",06/14/16,primary,45,5,2,13,25
